DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,endereco,lat,location,lon,nao_considerados,nome_local,nome_munic,num_local,secoes,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
732,1887,1037,3932,PARQUE DAS MISSÕES,25085009,ROD. WASHINGTON LUIZ KM 0,-22.78872,"ROD. WASHINGTON LUIZ KM 0, PARQUE DAS MISSÕES, DUQUE DE CAXIAS, Rio de Janeiro",-43.28537,1313,CIEP 350 TÚLIO ROBERTO CARDOSO QUINTINIANO,DUQUE DE CAXIAS,1163,11,0,97,0,2619,179,200
963,683,893,2856,CENTRO,25010230,"RUA JORGE VIEIRA DE MEDEIROS,101 - ANTIGA RUA 25 DE AGOSTO",-22.6000115,"RUA JORGE VIEIRA DE MEDEIROS,101 - ANTIGA RUA 25 DE AGOSTO, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3018652,1210,COLEGIO SÃO FRANCISCO,DUQUE DE CAXIAS,1112,9,0,59,0,1646,258,103
1581,1309,1040,4688,JARDIM PRIMAVERA,25212310,RUA LEIBRITZ S/N,-22.684,"RUA LEIBRITZ S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",-43.26025,1798,CIEP 035 MARECHAL HENRIQUE TEIXEIRA LOTT,DUQUE DE CAXIAS,1082,12,0,152,0,2890,606,126
958,1015,769,3064,COPACABANA,25060200,RUA PRESIDENTE JUSCELINO KUBISTCHEK DE OLIVEIRA 3374,-22.76582,"RUA PRESIDENTE JUSCELINO KUBISTCHEK DE OLIVEIRA 3374, COPACABANA, DUQUE DE CAXIAS, Rio de Janeiro",-43.29963,1091,ESCOLA MUNICIPAL GENERAL SAMPAIO,DUQUE DE CAXIAS,1015,8,0,72,0,1973,250,78
765,511,542,1977,JARDIM GUANABARA,25086030,ESTRADA SAO VICENTE 851,-22.65765,"ESTRADA SAO VICENTE 851, JARDIM GUANABARA, DUQUE DE CAXIAS, Rio de Janeiro",-43.28279,701,ESCOLA ESTADUAL MIGUEL COUTO,DUQUE DE CAXIAS,1040,6,0,40,0,1276,119,200
852,1005,616,2980,SARACURUNA,25212440,AV. URUGUAIANA S/N,-22.67478,"AV. URUGUAIANA S/N, SARACURUNA, DUQUE DE CAXIAS, Rio de Janeiro",-43.24996,1123,ESCOLA MUNICIPAL JAYME FICHMAN,DUQUE DE CAXIAS,1449,8,0,116,0,1857,391,126
227,695,286,1411,CAPIVARI,25243574,RUA MANZANARES S/N,-22.64157,"RUA MANZANARES S/N, CAPIVARI, DUQUE DE CAXIAS, Rio de Janeiro",-43.33765,489,ESCOLA ESTADUAL ABDALA CHAMA,DUQUE DE CAXIAS,1490,4,0,55,0,922,148,126
1402,833,1249,3858,PARQUE LAFAIETE,25010540,RUA MARIA LUIZA REIS S/N,-22.79011,"RUA MARIA LUIZA REIS S/N, PARQUE LAFAIETE, DUQUE DE CAXIAS, Rio de Janeiro",-43.31903,1623,ESCOLA ESTADUAL DUQUE DE CAXIAS,DUQUE DE CAXIAS,1422,15,0,71,0,2235,303,103
1682,1140,901,4413,PARQUE MUISA,25044050,RUA D  1,-22.639871,"RUA D  1, PARQUE MUISA, DUQUE DE CAXIAS, Rio de Janeiro",-43.2558728,1591,ESCOLA ESTADUAL SANTO INACIO,DUQUE DE CAXIAS,1732,12,0,184,0,2822,506,79
852,1094,859,3106,CENTENÁRIO,25030040,RUA OTÁVIO ASCOLI S/N,-22.77375,"RUA OTÁVIO ASCOLI S/N, CENTENÁRIO, DUQUE DE CAXIAS, Rio de Janeiro",-43.31255,1160,ESCOLA ESTADUAL IRINEU MARINHO,DUQUE DE CAXIAS,1058,8,0,84,0,1946,217,77
812,720,635,2477,PERIQUITOS,25010000,"AV. HENRIQUE VALADARES, 16",-22.778909,"AV. HENRIQUE VALADARES, 16, PERIQUITOS, DUQUE DE CAXIAS, Rio de Janeiro",-43.3234104,945,ESCOLA MUNICIPAL PROFESSORA MARIA JOSÉ DE OLIVEIRA,DUQUE DE CAXIAS,1260,9,0,77,0,1532,233,77
1417,735,1061,3498,ENGENHO DO PORTO,25015190,RUA COMANDANTE ARI PARREIRAS S/N,-22.79327,"RUA COMANDANTE ARI PARREIRAS S/N, ENGENHO DO PORTO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3213,1346,CIEP ANTONIETA CAMPOS DA PAZ (CIEP 434-MARIA JOSE MACHADO),DUQUE DE CAXIAS,1368,14,0,55,0,2152,230,103
