DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,codigo_municipio,endereco,location,nao_considerados,nome_local,nome_munic,num_local,percentual_abstencoes,percentual_anulados,percentual_brancos,percentual_legenda,percentual_nominais,percentual_nulos,secao,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
22,69,18,124,VILA EMA,25268000,58335,"RUA M, SN","RUA M, SN, VILA EMA, DUQUE DE CAXIAS, Rio de Janeiro",33,ESCOLA ESTADUAL FRANCISCO PORTUGAL NEVES,DUQUE DE CAXIAS,1040,0.15,0.0,0.04,0.0,0.73,0.08,256,0,5,0,91,10,127
64,200,65,399,SANTA CRUZ DA SERRA,25255070,58335,RUA ALAGOAS S/N,"RUA ALAGOAS S/N, SANTA CRUZ DA SERRA, DUQUE DE CAXIAS, Rio de Janeiro",135,ESCOLA MUNICIPAL ROTARY,DUQUE DE CAXIAS,1040,0.16,0.0,0.04,0.0,0.66,0.14,124,0,15,0,264,55,128
76,182,103,390,PARQUE DAS MISSÕES,25085009,58335,ROD. WASHINGTON LUIZ KM 0,"ROD. WASHINGTON LUIZ KM 0, PARQUE DAS MISSÕES, DUQUE DE CAXIAS, Rio de Janeiro",132,CIEP 350 TÚLIO ROBERTO CARDOSO QUINTINIANO,DUQUE DE CAXIAS,1163,0.26,0.0,0.03,0.0,0.66,0.04,115,0,12,0,258,17,200
109,100,82,333,CENTRO,25010230,58335,"RUA JORGE VIEIRA DE MEDEIROS,101 - ANTIGA RUA 25 DE AGOSTO","RUA JORGE VIEIRA DE MEDEIROS,101 - ANTIGA RUA 25 DE AGOSTO, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",124,COLEGIO SÃO FRANCISCO,DUQUE DE CAXIAS,1112,0.25,0.0,0.02,0.0,0.63,0.11,59,0,7,0,209,35,103
134,107,85,399,JARDIM PRIMAVERA,25212310,58335,RUA LEIBRITZ S/N,"RUA LEIBRITZ S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",158,CIEP 035 MARECHAL HENRIQUE TEIXEIRA LOTT,DUQUE DE CAXIAS,1082,0.21,0.0,0.03,0.0,0.6,0.15,55,0,12,0,241,61,126
90,182,89,392,PARQUE DAS MISSÕES,25085009,58335,ROD. WASHINGTON LUIZ KM 0,"ROD. WASHINGTON LUIZ KM 0, PARQUE DAS MISSÕES, DUQUE DE CAXIAS, Rio de Janeiro",120,CIEP 350 TÚLIO ROBERTO CARDOSO QUINTINIANO,DUQUE DE CAXIAS,1163,0.23,0.0,0.02,0.0,0.69,0.06,103,0,9,0,272,22,200
114,126,117,395,COPACABANA,25060200,58335,RUA PRESIDENTE JUSCELINO KUBISTCHEK DE OLIVEIRA 3374,"RUA PRESIDENTE JUSCELINO KUBISTCHEK DE OLIVEIRA 3374, COPACABANA, DUQUE DE CAXIAS, Rio de Janeiro",155,ESCOLA MUNICIPAL GENERAL SAMPAIO,DUQUE DE CAXIAS,1015,0.3,0.0,0.02,0.0,0.61,0.07,2,0,9,0,240,29,78
140,121,74,400,JARDIM PRIMAVERA,25212310,58335,RUA LEIBRITZ S/N,"RUA LEIBRITZ S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",139,CIEP 035 MARECHAL HENRIQUE TEIXEIRA LOTT,DUQUE DE CAXIAS,1082,0.18,0.0,0.04,0.0,0.65,0.13,54,0,14,0,261,51,126
113,159,70,394,COPACABANA,25060200,58335,RUA PRESIDENTE JUSCELINO KUBISTCHEK DE OLIVEIRA 3374,"RUA PRESIDENTE JUSCELINO KUBISTCHEK DE OLIVEIRA 3374, COPACABANA, DUQUE DE CAXIAS, Rio de Janeiro",122,ESCOLA MUNICIPAL GENERAL SAMPAIO,DUQUE DE CAXIAS,1015,0.18,0.0,0.03,0.0,0.69,0.1,145,0,11,0,272,41,78
95,61,83,257,JARDIM GUANABARA,25086030,58335,ESTRADA SAO VICENTE 851,"ESTRADA SAO VICENTE 851, JARDIM GUANABARA, DUQUE DE CAXIAS, Rio de Janeiro",101,ESCOLA ESTADUAL MIGUEL COUTO,DUQUE DE CAXIAS,1040,0.32,0.0,0.01,0.0,0.61,0.06,26,0,3,0,156,15,200
120,135,62,389,SARACURUNA,25212440,58335,AV. URUGUAIANA S/N,"AV. URUGUAIANA S/N, SARACURUNA, DUQUE DE CAXIAS, Rio de Janeiro",134,ESCOLA MUNICIPAL JAYME FICHMAN,DUQUE DE CAXIAS,1449,0.16,0.0,0.04,0.0,0.66,0.15,219,0,15,0,255,57,126
50,187,99,379,CAPIVARI,25243574,58335,RUA MANZANARES S/N,"RUA MANZANARES S/N, CAPIVARI, DUQUE DE CAXIAS, Rio de Janeiro",142,ESCOLA ESTADUAL ABDALA CHAMA,DUQUE DE CAXIAS,1490,0.26,0.0,0.03,0.0,0.63,0.09,242,0,10,0,237,33,126
126,82,93,342,PARQUE LAFAIETE,25010540,58335,RUA MARIA LUIZA REIS S/N,"RUA MARIA LUIZA REIS S/N, PARQUE LAFAIETE, DUQUE DE CAXIAS, Rio de Janeiro",134,ESCOLA ESTADUAL DUQUE DE CAXIAS,DUQUE DE CAXIAS,1422,0.27,0.0,0.02,0.0,0.61,0.1,232,0,8,0,208,33,103
132,105,79,382,PARQUE MUISA,25044050,58335,RUA D  1,"RUA D  1, PARQUE MUISA, DUQUE DE CAXIAS, Rio de Janeiro",145,ESCOLA ESTADUAL SANTO INACIO,DUQUE DE CAXIAS,1732,0.21,0.0,0.04,0.0,0.62,0.13,543,0,16,0,237,50,79
107,139,109,399,CENTENÁRIO,25030040,58335,RUA OTÁVIO ASCOLI S/N,"RUA OTÁVIO ASCOLI S/N, CENTENÁRIO, DUQUE DE CAXIAS, Rio de Janeiro",153,ESCOLA ESTADUAL IRINEU MARINHO,DUQUE DE CAXIAS,1058,0.27,0.0,0.03,0.0,0.62,0.09,21,0,10,0,246,34,77
84,167,94,397,IMBARIÊ,25000000,58335,"RUA GOINDIRA, 379","RUA GOINDIRA, 379, IMBARIÊ, DUQUE DE CAXIAS, Rio de Janeiro",146,COLÉGIO ESTADUAL FERNANDO FIGUEIREDO,DUQUE DE CAXIAS,1031,0.24,0.0,0.05,0.0,0.63,0.08,220,0,19,0,251,33,127
96,87,50,274,PERIQUITOS,25010000,58335,"AV. HENRIQUE VALADARES, 16","AV. HENRIQUE VALADARES, 16, PERIQUITOS, DUQUE DE CAXIAS, Rio de Janeiro",91,ESCOLA MUNICIPAL PROFESSORA MARIA JOSÉ DE OLIVEIRA,DUQUE DE CAXIAS,1260,0.18,0.0,0.04,0.0,0.67,0.11,133,0,11,0,183,30,77
125,54,47,244,ENGENHO DO PORTO,25015190,58335,RUA COMANDANTE ARI PARREIRAS S/N,"RUA COMANDANTE ARI PARREIRAS S/N, ENGENHO DO PORTO, DUQUE DE CAXIAS, Rio de Janeiro",65,CIEP ANTONIETA CAMPOS DA PAZ (CIEP 434-MARIA JOSE MACHADO),DUQUE DE CAXIAS,1368,0.19,0.0,0.01,0.0,0.73,0.06,243,0,3,0,179,15,103
40,229,74,376,CAPIVARI,25243150,58335,PRACA SAO LOURENCO 112,"PRACA SAO LOURENCO 112, CAPIVARI, DUQUE DE CAXIAS, Rio de Janeiro",107,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA,DUQUE DE CAXIAS,1406,0.2,0.0,0.02,0.0,0.72,0.06,328,0,9,0,269,24,126
102,164,73,396,VILA CANAAN,25255160,58335,RUA BONSUCESSO S/N,"RUA BONSUCESSO S/N, VILA CANAAN, DUQUE DE CAXIAS, Rio de Janeiro",130,ESCOLA ESTADUAL ALEMY TAVARES DA SILVA,DUQUE DE CAXIAS,1139,0.18,0.0,0.04,0.0,0.67,0.11,84,0,14,0,266,43,128
122,80,135,367,CENTRO,25010000,58335,AV. PRESIDENTE KENNEDY 514,"AV. PRESIDENTE KENNEDY 514, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",165,COLEGIO FUTURO VIP (ANTIGO CURSO GPI),DUQUE DE CAXIAS,1058,0.37,0.0,0.03,0.0,0.55,0.05,20,0,10,0,202,20,103
132,133,66,396,DOUTOR LAUREANO,25050580,58335,AV. CHOPIN 25,"AV. CHOPIN 25, DOUTOR LAUREANO, DUQUE DE CAXIAS, Rio de Janeiro",131,ESCOLA ESTADUAL HERBERT MOSES,DUQUE DE CAXIAS,1082,0.17,0.0,0.03,0.0,0.67,0.13,110,0,12,0,265,53,78
127,103,113,396,JARDIM 25 DE AGOSTO,25071202,58335,"RUA PROF. JOSÉ DE SOUZA HERDY, 1160","RUA PROF. JOSÉ DE SOUZA HERDY, 1160, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",166,UNIGRANRIO,DUQUE DE CAXIAS,1015,0.29,0.0,0.03,0.0,0.58,0.11,141,0,10,0,230,43,66
99,133,84,386,SARACURUNA,25220660,58335,RUA DO PORTO S/N,"RUA DO PORTO S/N, SARACURUNA, DUQUE DE CAXIAS, Rio de Janeiro",154,CIEP 228 DARCY VARGAS,DUQUE DE CAXIAS,1554,0.22,0.0,0.03,0.0,0.6,0.15,298,0,13,0,232,57,126
68,110,70,291,NOVA CAMPINAS,25211220,58335,"AV. A, S/N","AV. A, S/N, NOVA CAMPINAS, DUQUE DE CAXIAS, Rio de Janeiro",113,CIEP 227 - PROCÓPIO FERREIRA,DUQUE DE CAXIAS,1120,0.24,0.0,0.03,0.0,0.61,0.11,113,0,10,0,178,33,127
74,94,94,299,PARADA ANGÉLICA,25272230,58335,"RUA REAL DA ESTRELA, S/N","RUA REAL DA ESTRELA, S/N, PARADA ANGÉLICA, DUQUE DE CAXIAS, Rio de Janeiro",131,CIEP 407 - NEUZA GOULART BRIZOLA,DUQUE DE CAXIAS,1074,0.31,0.0,0.04,0.0,0.56,0.08,43,0,12,0,168,25,127
96,137,86,360,SÃO BENTO,25045030,58335,AVENIDA PRESIDENTE KENNEDY S/N,"AVENIDA PRESIDENTE KENNEDY S/N, SÃO BENTO, DUQUE DE CAXIAS, Rio de Janeiro",127,ESCOLA MUNICIPAL NISIA VILELA FERNANDES,DUQUE DE CAXIAS,2208,0.24,0.0,0.02,0.0,0.65,0.09,583,0,9,0,233,32,79
99,77,122,331,CENTRO,25070005,58335,"PRACA ROBERTO SILVEIRA, 24","PRACA ROBERTO SILVEIRA, 24, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",155,CEF - CAIXA ECONÔMICA FEDERAL - AGÊNCIA 1334 - 25 DE AGOSTO,DUQUE DE CAXIAS,1112,0.37,0.0,0.02,0.0,0.53,0.08,47,0,7,0,176,26,66
135,111,89,400,JARDIM PRIMAVERA,25223540,58335,PRACA NOSSA SENHORA DE LOURDES S/N,"PRACA NOSSA SENHORA DE LOURDES S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",154,CIEP 209 ATAULPHO ALVES,DUQUE DE CAXIAS,1120,0.22,0.0,0.04,0.0,0.62,0.12,83,0,17,0,246,48,126
62,200,75,378,CAPIVARI,25243574,58335,RUA MANZANARES S/N,"RUA MANZANARES S/N, CAPIVARI, DUQUE DE CAXIAS, Rio de Janeiro",116,ESCOLA ESTADUAL ABDALA CHAMA,DUQUE DE CAXIAS,1490,0.2,0.0,0.04,0.0,0.69,0.07,243,0,16,0,262,25,126
119,93,107,343,JARDIM GUANABARA,25086030,58335,ESTRADA SAO VICENTE 851,"ESTRADA SAO VICENTE 851, JARDIM GUANABARA, DUQUE DE CAXIAS, Rio de Janeiro",131,ESCOLA ESTADUAL MIGUEL COUTO,DUQUE DE CAXIAS,1040,0.31,0.0,0.02,0.0,0.62,0.05,25,0,7,0,212,17,200
130,152,121,460,CIDADE DOS MENINOS,25233000,58335,AV.PRESIDENTE KENNEDY KM 12,"AV.PRESIDENTE KENNEDY KM 12, CIDADE DOS MENINOS, DUQUE DE CAXIAS, Rio de Janeiro",178,CIEP 032 - CORA CORALINA,DUQUE DE CAXIAS,1066,0.26,0.0,0.04,0.0,0.61,0.08,29,0,19,0,282,38,79
75,173,84,399,PARQUE PAULISTA,25261000,58335,"AV. 31 DE MARÇO, 88","AV. 31 DE MARÇO, 88, PARQUE PAULISTA, DUQUE DE CAXIAS, Rio de Janeiro",151,CIEP 015 - MUNICIPALIZADO HENRIQUE DE SOUZA FILHO - HENFIL,DUQUE DE CAXIAS,1279,0.21,0.0,0.07,0.0,0.62,0.1,160,0,26,0,248,41,127
124,106,113,371,COPACABANA,25060350,58335,RUA ITU 1,"RUA ITU 1, COPACABANA, DUQUE DE CAXIAS, Rio de Janeiro",141,ESCOLA ESTADUAL ARARIBÓIA,DUQUE DE CAXIAS,1031,0.3,0.0,0.02,0.0,0.62,0.05,13,0,8,0,230,20,78
71,65,50,211,CENTRO,25020150,58335,"RUA JOSE DE ALVARENGA, 642","RUA JOSE DE ALVARENGA, 642, CENTRO, DUQUE DE CAXIAS, Rio de Janeiro",75,IPMDC-INSTITUTO DE PREVIDENCIA MUNICIPAL DE DUQUE DE CAXIAS,DUQUE DE CAXIAS,1171,0.24,0.0,0.03,0.0,0.64,0.09,146,0,7,0,136,18,103
104,128,80,370,NOVA CAMPINAS,25265000,58335,"AV. A, S/N - QD 93","AV. A, S/N - QD 93, NOVA CAMPINAS, DUQUE DE CAXIAS, Rio de Janeiro",138,CRECHE E PRÉ-ESCOLA MUNICIPAL PROFESSORA ARMANDA ÁLVARO ALBERTO,DUQUE DE CAXIAS,1309,0.22,0.0,0.03,0.0,0.63,0.13,143,0,11,0,232,47,127
107,129,99,396,SARACURUNA,25212662,58335,RUA CASTRO ALVES S/N,"RUA CASTRO ALVES S/N, SARACURUNA, DUQUE DE CAXIAS, Rio de Janeiro",160,CIEP 229 CANDIDO PORTINARI,DUQUE DE CAXIAS,1724,0.25,0.0,0.04,0.0,0.6,0.11,233,0,17,0,236,44,126
47,223,91,375,XERÉM,25250310,58335,ESTRADA DA IGREJA VELHA-F.N.M. S/N,"ESTRADA DA IGREJA VELHA-F.N.M. S/N, XERÉM, DUQUE DE CAXIAS, Rio de Janeiro",105,ESCOLA ESTADUAL SANTO ANTONIO,DUQUE DE CAXIAS,1090,0.24,0.0,0.01,0.0,0.72,0.03,33,0,2,0,270,12,128
157,103,97,393,PARQUE LAGUNA E DOURADOS,25085420,58335,"AV. DR. MANOEL TELLES, S/N","AV. DR. MANOEL TELLES, S/N, PARQUE LAGUNA E DOURADOS, DUQUE DE CAXIAS, Rio de Janeiro",133,CENTRO EDUCACIONAL COLEGIO CARLOS GOMES (QUADRA),DUQUE DE CAXIAS,1325,0.25,0.0,0.01,0.0,0.66,0.08,132,0,5,0,260,31,103
113,119,78,364,SANTA LÚCIA,25271080,58335,"RUA URUBÁ, 30","RUA URUBÁ, 30, SANTA LÚCIA, DUQUE DE CAXIAS, Rio de Janeiro",132,ESCOLA ESTADUAL OPERÁRIO JOÃO VICENTE,DUQUE DE CAXIAS,1368,0.21,0.0,0.04,0.0,0.64,0.11,33,0,15,0,232,39,127
114,151,87,395,CENTENÁRIO,25030150,58335,RUA CEL. ALBERTO DE MELO S/N,"RUA CEL. ALBERTO DE MELO S/N, CENTENÁRIO, DUQUE DE CAXIAS, Rio de Janeiro",130,ESCOLA MUNICIPAL HELENA AGUIAR DE MEDEIROS,DUQUE DE CAXIAS,1082,0.22,0.0,0.05,0.0,0.67,0.06,127,0,18,0,265,25,77
52,193,105,380,CAPIVARI,25243150,58335,PRACA SAO LOURENCO 112,"PRACA SAO LOURENCO 112, CAPIVARI, DUQUE DE CAXIAS, Rio de Janeiro",135,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA,DUQUE DE CAXIAS,1406,0.28,0.0,0.02,0.0,0.64,0.06,193,0,6,0,245,24,126
86,154,121,398,JARDIM GRAMACHO,25055340,58335,"RUA CARAMURU, 84","RUA CARAMURU, 84, JARDIM GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",158,ESCOLA MUNICIPAL MAURO DE CASTRO,DUQUE DE CAXIAS,1350,0.3,0.0,0.02,0.0,0.6,0.08,66,0,7,0,240,30,78
85,64,100,272,JARDIM 25 DE AGOSTO,25071181,58335,"AV. BRIGADEIRO LIMA E SILVA, 2059 - AG.129","AV. BRIGADEIRO LIMA E SILVA, 2059 - AG.129, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",123,BRADESCO - AGÊNCIA 0129,DUQUE DE CAXIAS,1317,0.37,0.0,0.01,0.0,0.55,0.07,7,0,4,0,149,19,66
85,40,81,237,PARQUE LAFAIETE,25010540,58335,RUA MARIA LUIZA REIS S/N,"RUA MARIA LUIZA REIS S/N, PARQUE LAFAIETE, DUQUE DE CAXIAS, Rio de Janeiro",112,ESCOLA MUNICIPAL OLGA TEIXEIRA DE OLIVEIRA,DUQUE DE CAXIAS,1414,0.34,0.0,0.03,0.0,0.53,0.1,222,0,8,0,125,23,103
145,71,97,346,PARQUE LAFAIETE,25025020,58335,AV. NILO PECANHA 2716,"AV. NILO PECANHA 2716, PARQUE LAFAIETE, DUQUE DE CAXIAS, Rio de Janeiro",130,ESCOLA VENANCIO PEREIRA VELLOSO,DUQUE DE CAXIAS,1473,0.28,0.0,0.03,0.0,0.62,0.07,198,0,9,0,216,24,103
