DICA,WASHINGTON REIS,abstencoes,aptos,codigo_municipio,nao_considerados,percentual_abstencoes,percentual_anulados,percentual_brancos,percentual_legenda,percentual_nominais,percentual_nulos,secao,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
71,201,72,400,58335,128,0.18,0.0,0.03,0.0,0.68,0.11,188,0,13,0,272,43,127
154,127,83,433,58335,152,0.19,0.0,0.04,0.0,0.65,0.12,107,0,16,0,281,53,194
103,149,90,391,58335,139,0.23,0.0,0.02,0.0,0.64,0.1,194,0,9,0,252,40,78
90,109,82,328,58335,129,0.25,0.0,0.04,0.0,0.61,0.1,114,0,14,0,199,33,127
122,85,91,327,58335,120,0.28,0.0,0.01,0.0,0.63,0.08,26,0,3,0,207,26,103
44,66,37,159,58335,49,0.23,0.0,0.01,0.0,0.69,0.06,589,0,2,0,110,10,79
180,88,79,396,58335,128,0.2,0.0,0.03,0.0,0.68,0.1,619,0,10,0,268,39,79
101,143,89,382,58335,138,0.23,0.0,0.02,0.0,0.64,0.11,30,0,7,0,244,42,194
81,146,92,384,58335,157,0.24,0.0,0.04,0.0,0.59,0.13,261,0,16,0,227,49,126
143,112,106,399,58335,144,0.27,0.0,0.02,0.0,0.64,0.07,652,0,9,0,255,29,79
96,50,78,245,58335,99,0.32,0.0,0.01,0.0,0.6,0.08,186,0,2,0,146,19,103
96,50,71,242,58335,96,0.29,0.0,0.02,0.0,0.6,0.08,221,0,5,0,146,20,103
104,120,99,370,58335,146,0.27,0.0,0.03,0.0,0.61,0.1,198,0,11,0,224,36,127
146,88,84,377,58335,143,0.22,0.0,0.03,0.0,0.62,0.12,265,0,13,0,234,46,103
147,92,126,397,58335,158,0.32,0.0,0.02,0.0,0.6,0.06,154,0,9,0,239,23,79
115,108,126,391,58335,168,0.32,0.0,0.03,0.0,0.57,0.08,22,0,10,0,223,32,66
127,86,91,335,58335,122,0.27,0.0,0.02,0.0,0.64,0.07,149,0,8,0,213,23,79
125,117,106,386,58335,144,0.27,0.0,0.02,0.0,0.63,0.08,22,0,8,0,242,30,78
152,104,77,393,58335,137,0.2,0.0,0.04,0.0,0.65,0.11,640,0,17,0,256,43,79
118,121,74,399,58335,160,0.19,0.0,0.06,0.0,0.6,0.16,194,0,22,0,239,64,127
110,119,82,371,58335,142,0.22,0.0,0.03,0.0,0.62,0.13,159,0,11,0,229,49,127
152,65,80,327,58335,110,0.24,0.0,0.02,0.0,0.66,0.07,202,0,8,0,217,22,103
111,142,72,371,58335,118,0.19,0.0,0.02,0.0,0.68,0.1,603,0,8,0,253,38,79
61,57,50,201,58335,83,0.25,0.0,0.02,0.0,0.59,0.14,154,0,5,0,118,28,66
156,116,80,396,58335,124,0.2,0.0,0.04,0.0,0.69,0.07,527,0,15,0,272,29,79
52,211,77,394,58335,131,0.2,0.0,0.04,0.0,0.67,0.1,207,0,15,0,263,39,127
62,208,66,378,58335,108,0.17,0.0,0.03,0.0,0.71,0.08,262,0,13,0,270,29,126
153,54,58,304,58335,97,0.19,0.0,0.04,0.0,0.68,0.09,172,0,13,0,207,26,103
118,153,85,398,58335,127,0.21,0.0,0.03,0.0,0.68,0.08,435,0,12,0,271,30,79
101,122,105,376,58335,153,0.28,0.0,0.03,0.0,0.59,0.1,10,0,11,0,223,37,78
91,98,49,276,58335,87,0.18,0.0,0.01,0.0,0.68,0.12,50,0,4,0,189,34,194
128,143,96,398,58335,127,0.24,0.0,0.02,0.0,0.68,0.06,9,0,8,0,271,23,126
77,55,66,225,58335,93,0.29,0.0,0.04,0.0,0.59,0.08,178,0,10,0,132,17,66
143,79,61,338,58335,116,0.18,0.0,0.03,0.0,0.66,0.13,633,0,11,0,222,44,79
83,91,93,312,58335,138,0.3,0.0,0.02,0.0,0.56,0.13,87,0,5,0,174,40,78
124,108,101,396,58335,164,0.26,0.0,0.04,0.0,0.59,0.12,123,0,14,0,232,49,66
62,193,112,397,58335,142,0.28,0.0,0.02,0.0,0.64,0.05,202,0,9,0,255,21,78
120,116,90,362,58335,126,0.25,0.0,0.01,0.0,0.65,0.09,50,0,4,0,236,32,77
67,215,74,380,58335,98,0.19,0.0,0.01,0.0,0.74,0.06,44,0,3,0,282,21,128
91,175,79,393,58335,127,0.2,0.0,0.04,0.0,0.68,0.08,196,0,16,0,266,32,78
150,109,74,395,58335,136,0.19,0.0,0.03,0.0,0.66,0.12,82,0,13,0,259,49,200
131,77,94,336,58335,128,0.28,0.0,0.01,0.0,0.62,0.09,57,0,3,0,208,31,103
134,99,57,338,58335,105,0.17,0.0,0.03,0.0,0.69,0.11,410,0,10,0,233,38,79
37,41,33,122,58335,44,0.27,0.0,0.02,0.0,0.64,0.07,93,0,3,0,78,8,194
128,97,106,367,58335,142,0.29,0.0,0.02,0.0,0.61,0.08,61,0,7,0,225,29,200
126,121,114,416,58335,169,0.27,0.0,0.03,0.0,0.59,0.1,138,0,12,0,247,43,66
46,60,33,165,58335,59,0.2,0.0,0.05,0.0,0.64,0.1,176,0,9,0,106,17,127
136,102,75,359,58335,121,0.21,0.0,0.02,0.0,0.66,0.11,324,0,6,0,238,40,79
107,101,81,325,58335,117,0.25,0.0,0.02,0.0,0.64,0.09,6,0,6,0,208,30,78
105,122,115,389,58335,162,0.3,0.0,0.04,0.0,0.58,0.08,227,0,15,0,227,32,126
124,87,72,302,58335,91,0.24,0.0,0.03,0.0,0.7,0.04,95,0,8,0,211,11,200
55,146,55,311,58335,110,0.18,0.0,0.03,0.0,0.65,0.14,62,0,10,0,201,45,127
101,147,114,394,58335,146,0.29,0.0,0.02,0.0,0.63,0.06,37,0,7,0,248,25,77
